,TTA,Cabang/Site,Umur,Level,Dev,JI,JNI,JobRotation
0,SMD,Cabang,Produktif3,Senior,Underload,Underload,Overload,no
1,SMD,Cabang,Produktif3,Senior,Normal,Normal,Overload,yes
2,SMD,Cabang,Produktif3,Senior,Normal,Normal,Overload,yes
3,JKT,Cabang,Produktif3,Senior,Underload,Normal,Overload,no
4,JKT,Cabang,Produktif3,Senior,Normal,Overload,Overload,yes
5,JKT,Cabang,Produktif3,Senior,Normal,Overload,Overload,yes
6,JKT,Cabang,Produktif3,Senior,Underload,Underload,Overload,no
7,JKT,Cabang,Produktif3,Senior,Overload,Underload,Overload,yes
8,JKT,Cabang,Produktif3,Senior,Overload,Normal,Overload,yes
9,JKT,Cabang,Produktif2,Junior,Underload,Overload,Overload,yes
10,JKT,Cabang,Produktif3,Senior,Underload,Normal,Overload,yes
11,JKT,Cabang,Produktif3,Senior,Underload,Normal,Overload,yes
12,BJM,Cabang,Produktif2,Senior,Underload,Normal,Normal,no
13,BJM,Cabang,Produktif2,Senior,Normal,Overload,Underload,yes
14,BJM,Cabang,Produktif2,Senior,Underload,Overload,Normal,yes
15,BLP,Cabang,Produktif2,Senior,Underload,Normal,Normal,no
16,BLP,Cabang,Produktif2,Senior,Normal,Overload,Normal,yes
17,SMD,Cabang,Produktif2,Senior,Normal,Normal,Normal,no
18,PKB,Cabang,Produktif3,Senior,Normal,Normal,Overload,yes
19,PKB,Cabang,Produktif3,Senior,Overload,Normal,Overload,yes
20,PKB,Cabang,Produktif3,Senior,Overload,Overload,Overload,yes
21,JKT,Cabang,Produktif2,Senior,Underload,Underload,Overload,no
22,JKT,Cabang,Produktif2,Senior,Underload,Normal,Overload,yes
23,JKT,Cabang,Produktif2,Senior,Underload,Normal,Overload,yes
24,JKT,Cabang,Produktif2,Junior,Underload,Underload,Overload,no
25,JKT,Cabang,Produktif2,Junior,Underload,Underload,Overload,no
26,JKT,Cabang,Produktif2,Junior,Underload,Underload,Overload,yes
27,JKT,Cabang,Produktif2,Junior,Underload,Normal,Overload,yes
28,JKT,Cabang,Produktif2,Senior,Underload,Normal,Normal,no
29,UPG,Cabang,Produktif2,Senior,Normal,Normal,Overload,yes
30,UPG,Cabang,Produktif2,Senior,Underload,Overload,Overload,yes
31,UPG,Cabang,Produktif2,Senior,Underload,Overload,Overload,yes
32,BLP,Cabang,Produktif2,Senior,Underload,Normal,Normal,no
33,BLP,Cabang,Produktif2,Senior,Underload,Overload,Overload,yes
34,BLP,Cabang,Produktif2,Senior,Normal,Overload,Overload,yes
35,BLP,Cabang,Produktif2,Senior,Normal,Normal,Normal,no
36,BLP,Cabang,Produktif2,Senior,Normal,Normal,Overload,yes
37,BLP,Cabang,Produktif2,Senior,Underload,Overload,Overload,yes
38,JKT,Cabang,Produktif2,Senior,Underload,Underload,Overload,no
39,JKT,Cabang,Produktif2,Senior,Normal,Normal,Overload,no
40,JKT,Cabang,Produktif2,Senior,Overload,Normal,Overload,yes
41,ADR,Site,Produktif2,Senior,Underload,Overload,Overload,yes
42,ADR,Site,Produktif2,Senior,Normal,Overload,Overload,yes
43,ADR,Site,Produktif2,Senior,Underload,Overload,Underload,yes
44,SGT,Site,Produktif2,Senior,Normal,Overload,Overload,yes
45,SGT,Site,Produktif2,Senior,Normal,Overload,Overload,yes
46,SGT,Site,Produktif2,Senior,Normal,Overload,Overload,yes
47,SMD,Cabang,Produktif2,Senior,Normal,Underload,Overload,no
48,SMD,Cabang,Produktif2,Senior,Normal,Normal,Overload,yes
49,SMD,Cabang,Produktif2,Senior,Normal,Normal,Overload,no
50,TJR,Site,Produktif2,Senior,Normal,Normal,Overload,no
51,TJR,Site,Produktif2,Senior,Normal,Overload,Overload,yes
