No,Tahun,NRP,TTA,Cabang/Site,Umur,Lama Kerja,Dev,JI,JNI,Total Jam
1,2020,80100097,SMD,Cabang,43,8,129,596,761,1486
2,2021,80100097,SMD,Cabang,44,9,244,826,840,1910
3,2022,80100097,SMD,Cabang,45,10,214,905,821,1940
4,2020,80105056,JKT,Cabang,46,8,74,838,689,1601
5,2021,80105056,JKT,Cabang,47,9,156,1611,833,2600
6,2022,80105056,JKT,Cabang,48,10,202,1488,722,2412
7,2020,80105145,JKT,Cabang,45,8,62,208,970,1240
8,2021,80105145,JKT,Cabang,46,9,352,411,1200,1963
9,2022,80105145,JKT,Cabang,47,10,316,1091,752,2159
10,2020,80106137,JKT,Cabang,39,5,92,2280.5,619,2991.5
11,2021,80106137,JKT,Cabang,40,6,116.5,1047,804,1967.5
12,2022,80106137,JKT,Cabang,41,7,99,1271,659,2029
13,2020,80107107,BJM,Cabang,37,8,72,1278,276,1626
14,2021,80107107,BJM,Cabang,38,9,169.5,1641,116,1926.5
15,2022,80107107,BJM,Cabang,39,10,112,1973,254,2339
16,2020,80107120,BLP,Cabang,37,6,36,1008,156,1200
17,2021,80107120,BLP,Cabang,38,7,221,1491,281,1993
18,2022,80107120,SMD,Cabang,39,8,272,1232,220,1724
19,2020,80107129,PKB,Cabang,43,7,164,870,840,1874
20,2021,80107129,PKB,Cabang,44,8,392,1059,709,2160
21,2022,80107129,PKB,Cabang,45,9,323,1439,613,2375
22,2020,80109014,JKT,Cabang,37,8,105,496,536,1137
23,2021,80109014,JKT,Cabang,38,9,140,1087,918,2145
24,2022,80109014,JKT,Cabang,39,10,92,1224,660,1976
25,2020,80109016,JKT,Cabang,35,3,65,288,667,1020
26,2020,80109017,JKT,Cabang,36,4,80,585,1064,1729
27,2021,80109017,JKT,Cabang,37,5,91,228,1783,2102
28,2022,80109017,JKT,Cabang,37,5,97,885,1197,2179
29,2020,80109019,JKT,Cabang,38,6,67,968,278,1313
30,2020,80110002,UPG,Cabang,39,7,198,1281,425,1904
31,2021,80110002,UPG,Cabang,34,8,118,1393,468,1979
32,2022,80110002,UPG,Cabang,35,9,120,1589,377,2086
33,2020,80110003,BLP,Cabang,33,8,104,1168,280,1552
34,2021,80110003,BLP,Cabang,34,9,128,1800,376,2304
35,2022,80110003,BLP,Cabang,35,10,240,1526,408,2174
36,2020,80110005,BLP,Cabang,34,8,205,932,281,1418
37,2021,80110005,BLP,Cabang,35,9,224,1304,520,2048
38,2022,80110005,BLP,Cabang,36,10,40,1638,472,2150
39,2020,80110006,JKT,Cabang,32,7,106,511,567.5,1184.5
40,2021,80110006,JKT,Cabang,33,8,255.5,739,703.5,1698
41,2022,80110006,JKT,Cabang,34,9,300,1053,530,1883
42,2020,80110007,ADR,Site,34,8,49,1771,589,2409
43,2021,80110007,ADR,Site,35,9,160,1604.5,704,2468.5
44,2022,80110007,ADR,Site,36,10,86,1896,121,2103
45,2020,80110008,SGT,Site,34,6,196,1437,584,2217
46,2021,80110008,SGT,Site,35,7,156,1401,423,1980
47,2022,80110008,SGT,Site,36,8,190,1370,469,2029
48,2020,80110011,SMD,Cabang,34,8,188,628.5,508,1324.5
49,2021,80110011,SMD,Cabang,35,9,260,868.5,776,1904.5
50,2022,80110011,SMD,Cabang,36,10,224,936,688,1848
51,2020,80110012,TJR,Site,34,8,147,946,554,1647
52,2021,80110012,TJR,Site,35,9,179,1223,549,1951
53,2022,80110012,TJR,Site,36,10,186,1526,483.5,2195.5
54,2020,80110013,UPG,Cabang,33,8,120,992,443,1555
55,2021,80110013,UPG,Cabang,34,9,242,1456.5,551,2249.5
56,2022,80110013,UPG,Cabang,35,10,358,1156,238,1752
57,2020,80110014,JKT,Cabang,34,8,104,1082,562,1748
58,2021,80110014,JKT,Cabang,35,9,293,514,798,1605
59,2020,80110017,BKJ,Site,34,6,236,1335,295,1866
60,2021,80110017,BKJ,Site,35,7,127,1064,183,1374
61,2020,80110019,BKJ,Site,34,9,153,1354,101,1608
62,2021,80110019,BKJ,Site,35,10,256,1630,225,2111
63,2022,80110019,BKJ,Site,36,11,230,1618,344,2192
64,2020,80110020,SMD,Cabang,33,8,96,903,132,1131
65,2021,80110020,SMD,Cabang,34,9,202,1430,336,1968
66,2022,80110020,SMD,Cabang,35,10,304,1222,484,2010
67,2020,80110022,MLW,Site,34,5,155,1154.5,215,1524.5
68,2021,80110022,MLW,Site,35,6,193,1393,178,1764
69,2021,80110022,UPG,Cabang,35,6,34,112,76,222
70,2022,80110022,UPG,Cabang,36,7,179,1499,321,1999
71,2020,80110023,TJR,Site,33,3,125,964,351,1440
72,2021,80110023,TJR,Site,34,4,146,1277,653,2076
73,2022,80110023,TJR,Site,35,5,121,1148,632,1901
74,2020,80110025,SGT,Site,37,5,83,1254,152,1489
75,2021,80110025,BJM,Cabang,38,6,120,1401,607,2128
76,2022,80110025,BJM,Cabang,39,7,65,1562,352,1979
77,2020,80110027,JKT,Cabang,33,7,112,1655,1163,2930
78,2021,80110027,JKT,Cabang,34,8,1556,88,260,1904
79,2022,80110027,JKT,Cabang,35,9,144,1032.5,797,1973.5
80,2020,80110028,ADR,Site,32,8,168,1245,402,1815
81,2021,80110028,ADR,Site,33,9,146,1390,748,2284
82,2022,80110028,ADR,Site,34,10,161,1715,363,2239
83,2020,80110029,UPG,Cabang,33,7,24,1600,56,1680
84,2021,80110029,UPG,Cabang,34,8,,1688,297,1985
85,2022,80110029,UPG,Cabang,35,9,,1544,240,1784
86,2020,80110034,SMD,Cabang,34,8,181.5,714,495.5,1391
87,2021,80110034,SMD,Cabang,35,9,247,1258,505,2010
88,2022,80110034,SMD,Cabang,36,10,275.5,1282,535,2092.5
89,2020,80110036,JKT,Cabang,37,7,132,693,595,1420
90,2021,80110036,JKT,Cabang,38,8,208,1112,842,2162
91,2022,80110036,JKT,Cabang,39,9,,162,138,300
92,2020,80110305,JKT,Cabang,32,5,128,783,177,1088
93,2021,80110305,JKT,Cabang,33,6,56,312,40,408
94,2020,80110306,BJM,Cabang,31,0,121,1485.5,499,2105.5
95,2021,80110306,BJM,Cabang,32,1,92,1303,603,1998
96,2022,80110306,BJM,Cabang,33,2,158,1473.5,703.5,2335
97,2020,80110307,BJM,Cabang,33,2,70,1219,347,1636
98,2021,80110307,BJM,Cabang,34,3,64,1704,268,2036
99,2022,80110307,BJM,Cabang,35,4,147,1354,428,1929
100,2020,80110308,JKT,Cabang,31,8,40,1344,568,1952
101,2021,80110308,JKT,Cabang,32,9,136,1348,688,2172
102,2022,80110308,JKT,Cabang,33,10,152,1192,600,1944
103,2020,80110309,TJR,Site,31,3,144,981,405,1530
104,2021,80110309,TJR,Site,32,4,144.5,1105,603,1852.5
105,2022,80110309,TJR,Site,33,5,122.5,1377.5,570,2070
106,2020,80110310,SGT,Site,32,8,136,1256,312,1704
107,2021,80110310,SGT,Site,33,9,320,1392,256,1968
108,2022,80110310,SGT,Site,34,10,136,1152,448,1736
109,2020,80110312,JKT,Cabang,34,8,83,608,393,1084
110,2021,80110312,JKT,Cabang,35,9,167,614,1050,1831
111,2022,80110312,JKT,Cabang,36,10,72,880,798,1750
112,2020,80110313,UPG,Cabang,32,3,329,977,390,1696
113,2021,80110313,UPG,Cabang,33,4,231,1166,494,1891
114,2022,80110313,UPG,Cabang,34,5,196,1295,554,2045
115,2020,80110314,BJM,Cabang,32,7,150,1114.5,406,1670.5
116,2021,80110314,BJM,Cabang,33,8,157,1509,263.5,1929.5
117,2022,80110314,BJM,Cabang,34,9,143,1331,335,1809
118,2020,80110316,MLW,Site,32,0,167,1023,386,1576
